"","card","rankCategory","trump","numSuitInHand","tricksToWin0","tricksToWin1","tricksToWin2","tricksToWin3","tricksLeft"
"212","2H","low",FALSE,2,1,3,6,1,10
"213","5S","low",FALSE,2,0,1,1,1,2
"214","AS","veryhigh",FALSE,2,4,1,3,3,10
"215","KC","veryhigh",FALSE,3,3,1,3,3,9
"216","6H","mediumlow",TRUE,4,2,1,3,3,8
"217","4H","low",TRUE,2,1,4,2,5,10
"218","JS","high",FALSE,3,5,1,2,1,10
"219","TC","high",TRUE,3,4,0,1,0,6
"220","KD","veryhigh",FALSE,1,3,0,1,0,5
"221","9S","mediumhigh",FALSE,2,2,0,1,0,4
"222","5S","low",FALSE,1,1,0,0,0,2
"223","3H","low",FALSE,4,2,1,4,4,10
"224","JS","high",FALSE,1,1,1,3,3,7
"225","5C","low",FALSE,3,0,1,3,3,6
"226","8C","mediumhigh",TRUE,4,3,5,2,1,10
"227","6S","mediumlow",FALSE,1,2,1,2,-1,3
"228","4H","low",TRUE,4,3,2,3,1,10
"229","4C","low",FALSE,1,2,1,-1,0,3
"230","9H","mediumhigh",TRUE,2,1,1,-1,0,2
"231","6C","mediumlow",FALSE,4,2,5,2,2,10
"232","3C","low",FALSE,3,1,4,2,2,8
"233","5D","low",FALSE,3,0,4,2,1,6
"234","KD","veryhigh",TRUE,3,5,1,1,2,10
"235","4S","low",FALSE,3,4,1,1,2,9
"236","AS","veryhigh",FALSE,2,3,0,1,2,7
"237","6C","mediumlow",FALSE,3,2,0,1,2,6
"238","AD","veryhigh",TRUE,1,1,-2,1,2,3
"239","2S","low",FALSE,1,0,-2,1,2,2
"240","4C","low",FALSE,3,2,4,0,5,10
"241","9D","mediumhigh",FALSE,1,1,2,0,4,6
"242","3S","low",FALSE,2,0,2,0,4,5
"243","AS","veryhigh",FALSE,3,4,2,1,2,10
"244","5C","low",TRUE,4,3,2,1,2,9
"245","4D","low",FALSE,2,2,1,0,2,6
"246","8S","mediumhigh",FALSE,1,1,1,-1,1,3
"247","5H","low",FALSE,2,1,6,4,0,10
"248","6D","mediumlow",FALSE,3,0,4,3,0,6
"249","QH","high",FALSE,2,4,1,2,2,10
"250","8C","mediumhigh",FALSE,1,3,1,2,2,9
"251","2S","low",FALSE,3,2,1,2,2,8
"252","8D","mediumhigh",TRUE,4,1,1,1,1,5
"253","6H","mediumlow",FALSE,1,0,1,1,0,3
"254","AD","veryhigh",FALSE,4,5,2,0,4,10
"255","4D","low",FALSE,3,4,2,0,4,9
"256","AS","veryhigh",FALSE,3,3,2,-1,4,7
"257","QS","high",FALSE,2,2,2,-1,3,5
"258","2S","low",FALSE,1,1,2,-1,3,4
"259","KS","veryhigh",FALSE,4,2,1,7,1,10
"260","3H","low",FALSE,3,1,1,7,1,9
"261","AD","veryhigh",FALSE,2,4,0,1,4,10
"262","6S","mediumlow",FALSE,3,3,0,1,4,9
"263","TC","high",FALSE,2,2,0,1,3,7
"264","QS","high",FALSE,1,1,-2,1,1,2
"265","3D","low",TRUE,6,5,3,0,0,10
"266","QS","high",FALSE,2,4,2,0,0,8
"267","6D","mediumlow",TRUE,4,3,1,0,-2,4
"268","7D","mediumlow",TRUE,2,2,0,0,-2,2
"269","AC","veryhigh",FALSE,4,2,4,1,2,10
"270","TS","high",FALSE,5,1,4,1,2,9
"271","7C","mediumlow",FALSE,2,0,2,-1,1,3
"272","6C","mediumlow",FALSE,3,2,2,3,2,10
"273","AC","veryhigh",FALSE,1,1,0,1,1,4
"274","5H","low",FALSE,3,0,0,1,1,3
"275","AH","veryhigh",FALSE,4,5,1,2,0,10
"276","JH","high",FALSE,3,4,1,2,0,9
"277","9H","mediumhigh",FALSE,2,3,0,2,-1,6
"278","AD","veryhigh",FALSE,1,2,-1,1,-1,3
"279","7H","mediumlow",FALSE,1,1,-1,1,-1,2
"280","KH","veryhigh",FALSE,4,3,3,2,4,10
"281","AH","veryhigh",FALSE,3,2,3,2,4,9
"282","2S","low",FALSE,2,1,3,2,4,8
"283","JH","high",FALSE,2,0,0,1,3,2
"284","AD","veryhigh",FALSE,4,1,6,1,1,10
"285","JH","high",FALSE,2,0,6,1,1,9
"286","9D","mediumhigh",FALSE,3,-1,6,1,1,8
"287","KH","veryhigh",FALSE,4,3,4,1,3,10
"288","7S","mediumlow",FALSE,1,2,4,1,3,9
"289","QC","high",FALSE,3,1,2,1,3,6
"290","5H","low",FALSE,3,0,2,1,3,5
"291","AD","veryhigh",FALSE,4,4,1,3,1,10
"292","5D","low",FALSE,3,3,1,3,1,9
"293","AS","veryhigh",FALSE,2,2,1,2,-1,5
"294","JC","high",FALSE,1,1,1,2,-1,4
"295","5D","low",FALSE,4,3,2,5,1,10
"296","KD","veryhigh",FALSE,3,2,0,4,0,5
"297","4D","low",FALSE,2,1,0,3,0,3
"298","6D","mediumlow",TRUE,3,2,3,6,0,10
"299","AC","veryhigh",FALSE,3,1,2,4,0,6
"300","2D","low",TRUE,1,0,2,4,0,5
"301","5C","low",FALSE,4,2,4,2,3,10
"302","JD","high",FALSE,3,1,3,1,2,6
"303","3D","low",FALSE,2,0,3,1,2,5
"304","3D","low",FALSE,2,0,4,5,2,10
"305","AC","veryhigh",TRUE,2,2,4,3,0,10
"306","8C","mediumhigh",TRUE,1,1,4,3,0,9
"307","6S","mediumlow",FALSE,5,0,3,3,0,7
"308","KS","veryhigh",TRUE,2,3,4,2,0,10
"309","QC","high",FALSE,2,2,4,2,0,9
"310","6C","mediumlow",FALSE,1,1,4,2,0,8
"311","7H","mediumlow",FALSE,4,0,4,1,0,6
"312","9H","mediumhigh",TRUE,3,2,4,2,1,10
"313","6H","mediumlow",TRUE,2,1,4,2,1,9
"314","JD","high",FALSE,4,0,4,2,1,8
"315","7D","mediumlow",FALSE,2,-1,2,2,-1,3
"316","TH","high",TRUE,1,-2,2,2,-1,2
"317","QH","high",TRUE,3,5,1,1,2,10
"318","AC","veryhigh",FALSE,3,4,1,1,2,9
"319","7C","mediumlow",FALSE,2,3,1,1,2,8
"320","5H","low",TRUE,2,2,1,1,2,7
"321","TS","high",FALSE,3,1,1,0,2,5
"322","JS","high",FALSE,4,2,6,0,3,10
"323","8S","mediumhigh",FALSE,3,1,6,-1,3,8
"324","9C","mediumhigh",TRUE,3,0,6,-1,3,7
"325","5S","low",FALSE,5,0,3,3,6,10
"326","4C","low",FALSE,3,2,4,2,1,10
"327","KS","veryhigh",FALSE,2,1,3,0,1,6
"328","3D","low",TRUE,3,2,2,4,1,10
"329","9D","mediumhigh",TRUE,2,1,2,2,-3,3
"330","5H","low",FALSE,1,4,2,3,0,10
"331","3C","low",TRUE,4,3,2,2,0,8
"332","4D","low",FALSE,1,2,1,0,-1,3
"333","7H","mediumlow",TRUE,4,2,4,0,6,10
"334","8H","mediumhigh",TRUE,3,1,4,0,6,9
"335","8C","mediumhigh",FALSE,1,0,4,0,4,6
"336","QC","high",TRUE,4,5,1,2,1,10
"337","QS","high",FALSE,3,4,-1,2,1,7
"338","8S","mediumhigh",FALSE,2,3,-1,2,1,6
"339","9D","mediumhigh",FALSE,1,2,-1,1,1,4
"340","6S","mediumlow",FALSE,1,1,-1,1,0,2
"341","5H","low",TRUE,4,2,3,2,2,10
"342","JH","high",TRUE,2,1,1,1,1,5
"343","AS","veryhigh",FALSE,4,3,0,3,5,10
"344","7S","mediumlow",FALSE,3,2,0,3,5,9
"345","KD","veryhigh",FALSE,3,1,0,2,4,6
"346","3D","low",FALSE,2,0,0,2,4,5
"347","AS","veryhigh",FALSE,4,2,1,5,3,10
"348","4C","low",FALSE,1,1,1,5,3,9
"349","9H","mediumhigh",FALSE,4,0,1,4,3,7
"350","8H","mediumhigh",FALSE,3,-1,1,4,3,6
"351","AH","veryhigh",FALSE,3,3,1,3,2,10
"352","5D","low",FALSE,4,2,1,3,2,9
"353","AC","veryhigh",TRUE,1,1,0,1,2,5
"354","3D","low",FALSE,3,0,0,1,2,4
"355","KC","veryhigh",FALSE,4,2,2,5,2,10
"356","5C","low",FALSE,3,1,2,5,2,9
"357","KD","veryhigh",FALSE,2,1,3,2,5,10
"358","4C","low",TRUE,2,0,3,2,3,7
"359","8H","mediumhigh",FALSE,2,-1,3,0,3,4
"360","KS","veryhigh",FALSE,4,3,0,4,2,10
"361","AH","veryhigh",FALSE,2,2,0,4,2,9
"362","6D","mediumlow",TRUE,2,1,0,4,2,8
"363","4S","low",FALSE,3,0,0,3,1,5
"364","2H","low",TRUE,4,5,1,2,1,10
"365","AH","veryhigh",TRUE,3,4,0,1,1,7
"366","KC","veryhigh",FALSE,3,3,0,1,1,6
"367","4D","low",FALSE,1,2,0,1,1,5
"368","AS","veryhigh",FALSE,4,2,2,4,3,10
"369","3C","low",TRUE,2,1,2,4,3,9
"370","5D","low",FALSE,2,2,4,2,3,10
"371","9C","mediumhigh",TRUE,4,1,4,2,1,7
"372","KD","veryhigh",FALSE,3,3,2,3,1,10
"373","KC","veryhigh",FALSE,2,2,2,2,1,8
"374","8S","mediumhigh",FALSE,4,1,2,2,1,7
"375","7S","mediumlow",FALSE,3,0,1,2,1,5
"376","KS","veryhigh",FALSE,2,-1,1,2,0,3
"377","TS","high",FALSE,1,-2,1,2,0,2
"378","6C","mediumlow",FALSE,4,0,5,4,0,10
"379","9D","mediumhigh",FALSE,1,-1,3,3,-2,4
"380","QC","high",FALSE,1,-2,3,3,-2,3
"381","2H","low",FALSE,2,-3,3,3,-2,2
"382","AC","veryhigh",FALSE,5,2,4,1,2,10
"383","KH","veryhigh",FALSE,2,1,1,1,2,6
"384","2C","low",FALSE,4,0,1,1,2,5
"385","AD","veryhigh",FALSE,4,2,1,6,2,10
"386","5C","low",FALSE,3,1,1,6,2,9
"387","3D","low",FALSE,3,0,0,6,2,7
"388","4D","low",FALSE,2,3,3,1,2,10
"389","KD","veryhigh",FALSE,1,2,3,1,1,8
"390","JC","high",FALSE,3,1,3,1,1,7
"391","8S","mediumhigh",FALSE,3,0,3,1,1,6
"392","KD","veryhigh",TRUE,4,3,2,2,2,10
"393","7S","mediumlow",FALSE,3,2,2,2,2,9
"394","8C","mediumhigh",FALSE,3,1,0,2,2,6
"395","4C","low",FALSE,1,0,0,-1,2,2
"396","5S","low",FALSE,1,3,1,2,6,10
"397","9H","mediumhigh",TRUE,3,2,1,1,4,6
"398","5C","low",FALSE,1,1,1,1,3,4
"399","7D","mediumlow",FALSE,2,0,1,1,2,2
"400","AC","veryhigh",FALSE,6,2,1,4,4,10
"401","6D","mediumlow",FALSE,3,1,1,4,4,9
"402","4C","low",FALSE,5,0,1,4,3,7
"403","TC","high",FALSE,2,1,3,5,0,10
"404","8D","mediumhigh",TRUE,5,5,0,3,1,10
"405","JD","high",TRUE,4,4,0,3,1,9
"406","KS","veryhigh",FALSE,1,3,0,3,0,7
"407","2D","low",TRUE,3,2,0,3,0,6
"408","5S","low",FALSE,4,1,5,1,4,10
"409","2C","low",FALSE,2,1,5,2,4,10
"410","4D","low",FALSE,3,0,5,1,4,8
"411","8D","mediumhigh",FALSE,2,5,0,3,1,10
"412","8C","mediumhigh",TRUE,4,4,0,1,-1,5
"413","AC","veryhigh",TRUE,2,3,0,0,-1,3
"414","7C","mediumlow",TRUE,1,2,0,0,-1,2
"415","AH","veryhigh",FALSE,4,4,0,1,6,10
"416","JD","high",FALSE,3,3,0,1,6,9
"417","JH","high",FALSE,3,2,0,1,6,8
"418","2D","low",FALSE,2,1,0,0,6,6
"419","6S","mediumlow",TRUE,1,0,-1,-1,6,3
"420","6H","mediumlow",FALSE,1,-1,-1,-1,6,2
"421","9C","mediumhigh",TRUE,4,3,3,4,1,10
"422","AS","veryhigh",FALSE,2,2,3,-2,1,3
"423","JH","high",FALSE,1,1,3,-2,1,2
"424","AS","veryhigh",FALSE,4,3,2,2,4,10
"425","8C","mediumhigh",FALSE,4,2,2,2,4,9
"426","7C","mediumlow",FALSE,3,1,2,2,4,8
"427","9C","mediumhigh",FALSE,4,2,1,4,5,10
"428","QC","high",FALSE,3,1,1,4,4,8
"429","8H","mediumhigh",FALSE,1,0,1,3,3,5
"430","AS","veryhigh",FALSE,5,3,3,1,4,10
"431","JS","high",FALSE,4,2,3,1,4,9
"432","2H","low",TRUE,2,1,3,1,4,8
"433","AD","veryhigh",FALSE,4,3,3,3,2,10
"434","AS","veryhigh",TRUE,2,2,3,3,2,9
"435","JD","high",FALSE,3,1,3,3,2,8
"436","4C","low",FALSE,3,0,2,2,2,5
"437","AD","veryhigh",FALSE,4,5,1,2,1,10
"438","KS","veryhigh",TRUE,4,4,1,2,1,9
"439","3H","low",FALSE,2,3,1,2,1,8
"440","JH","high",FALSE,1,2,1,0,1,5
"441","8S","mediumhigh",TRUE,2,1,0,-1,1,2
"442","9H","mediumhigh",FALSE,2,2,3,3,1,10
"443","8S","mediumhigh",TRUE,2,1,3,1,-2,4
"444","3D","low",FALSE,2,0,3,0,-2,2
"445","4H","low",FALSE,3,1,4,5,1,10
"446","7D","mediumlow",FALSE,4,0,6,5,1,10
"447","2S","low",FALSE,4,3,2,3,1,10
"448","3D","low",TRUE,3,2,2,1,0,6
"449","8S","mediumhigh",FALSE,2,1,1,0,0,3
"450","AS","veryhigh",FALSE,4,3,0,4,4,10
"451","AC","veryhigh",FALSE,3,2,0,4,4,9
"452","5S","low",FALSE,3,1,0,4,4,8
"453","2D","low",FALSE,2,4,3,1,1,10
"454","JC","high",TRUE,3,3,3,0,1,8
"455","QC","high",TRUE,2,2,3,0,1,7
"456","TS","high",TRUE,2,1,4,0,4,10
"457","4S","low",TRUE,1,0,4,0,4,9
"458","KH","veryhigh",FALSE,4,3,2,1,5,10
"459","AH","veryhigh",FALSE,3,2,2,1,5,9
"460","TC","high",TRUE,2,1,2,1,5,8
"461","3S","low",FALSE,3,0,2,-1,5,5
"462","QH","high",FALSE,1,2,4,2,1,10
"463","AC","veryhigh",FALSE,3,1,4,2,0,8
"464","3S","low",TRUE,1,0,4,2,0,7
"465","7S","mediumlow",FALSE,4,4,3,0,2,10
"466","JS","high",FALSE,2,3,1,-1,2,6
"467","4D","low",TRUE,3,2,0,-2,2,3
"468","6S","mediumlow",FALSE,4,0,4,5,0,10
"469","4C","low",FALSE,4,2,2,1,6,10
"470","JS","high",FALSE,1,1,1,1,3,5
"471","3H","low",FALSE,2,3,4,2,0,10
"472","5S","low",FALSE,3,2,2,2,0,7
"473","KS","veryhigh",FALSE,2,1,0,0,0,2
"474","9H","mediumhigh",TRUE,2,3,3,2,1,10
"475","QC","high",FALSE,2,2,3,1,1,8
"476","2D","low",FALSE,4,1,3,1,1,7
"477","6D","mediumlow",FALSE,4,2,3,4,3,10
"478","3D","low",FALSE,3,1,2,4,3,8
"479","6H","mediumlow",FALSE,2,0,2,3,3,6
"480","2H","low",FALSE,1,-1,2,2,2,3
"481","AS","veryhigh",FALSE,5,3,1,4,1,10
"482","QD","high",FALSE,3,2,1,4,1,9
"483","2S","low",FALSE,4,1,0,4,1,7
"484","4H","low",TRUE,3,2,2,3,4,10
"485","9D","mediumhigh",FALSE,3,1,0,3,4,7
"486","3H","low",TRUE,1,0,0,0,4,3
"487","JD","high",FALSE,3,2,2,1,7,10
"488","6S","mediumlow",FALSE,4,1,2,1,6,8
"489","9D","mediumhigh",FALSE,1,0,2,-1,3,2
"490","3D","low",FALSE,3,3,3,0,5,10
"491","AS","veryhigh",FALSE,2,2,2,-1,5,7
"492","QC","high",FALSE,2,1,2,-1,5,6
"493","7H","mediumlow",TRUE,2,0,2,-1,5,5
"494","6C","mediumlow",FALSE,1,-1,2,-1,4,3
"495","2S","low",FALSE,2,2,3,2,4,10
"496","9D","mediumhigh",FALSE,3,1,2,2,3,7
"497","4H","low",FALSE,1,0,1,2,1,3
"498","AC","veryhigh",FALSE,3,3,2,3,1,10
"499","3H","low",FALSE,3,2,2,3,1,9
"500","9D","mediumhigh",FALSE,1,1,2,5,4,10
"501","4S","low",FALSE,2,3,1,3,2,10
"502","JH","high",FALSE,4,2,0,1,1,5
"503","4H","low",FALSE,3,1,0,1,1,4
"504","QH","high",FALSE,2,0,-1,1,1,2
"505","5H","low",TRUE,1,0,3,4,2,10
"506","QS","high",FALSE,4,-1,2,4,2,8
"507","JS","high",FALSE,2,-2,2,3,1,5
